score	sentence_1	sentence_2
0	BOB HOPE, master of the one-liner and Americas favourite comedian, died with a smile on his face yesterday just months after celebrating his 100th birthday.	Bob Hope, the master of one-line quips, died Sunday night with a smile on his face, his daughter said yesterday.
0	The 30-year bond <US30YT=RR> firmed 24/32, taking its yield to 4.18 percent, after hitting another record low of 4.16 percent.	The 30-year bond US30YT=RR firmed 14/32, taking its yield to 4.19 percent from 4.22 percent.
1	A Trillian representative did not return an e-mail requesting comment.	The representative did not return calls seeking additional comment.
1	Genetic studies of ethnic groups raise concerns because of fears that they could be used or distorted to justify discrimination against a group or to promote stereotypes.	Geneticists cite fears that ethnic-based research would be used or distorted to justify discrimination against a group or to promote racial stereotypes.
1	Suspected rebels also blew up an oil pipeline in north-east Colombia.	Also Sunday, suspected rebels dynamited an oil pipeline in northeast Colombia.
1	Geoghan, 68, was taken to Leominster Hospital, where he was pronounced dead at 1:17 p.m.	Mr. Geoghan was taken to the University of Massachusetts Memorial Health Alliance Hospital in Leominster, Mass., where he died at 1:17 p.m.
0	Dotson was arrested Monday in his native Maryland and charged with murder.	Dotson, 21, was subsequently charged with Dennehy's murder.
0	And if that ain't a Democrat, then I must be at the wrong meeting.	If that ain't a Democrat, then I must be at the wrong meeting, he said to a standing ovation.
1	President George W. Bush and top administration officials cited the threat from Iraq's banned weapons programs as the main justification for going to war.	President Bush and top officials in his administration cited the threat from Iraq's alleged chemical and biological weapons and nuclear weapons program as the main justification for going to war.
1	The men were remanded in custody and are due to appear again before court on July 8.	They were remanded in custody and will appear in court again on July 8.
0	This child was literally neglected to death, Armstrong County District Attorney Scott Andreassi said.	Armstrong County District Attorney Scott Andreassi said the many family photos in the home did not include Kristen.
0	The indictment supercedes a criminal complaint filed against Quattrone on April 23 with similar charges.	The indictment follows a criminal complaint filed by federal prosecutors on April 23.
1	In March, Rowland's former deputy chief of staff pleaded guilty to accepting gold and cash in return for steering state contracts.	Lawrence E. Alibozek, his former deputy chief of staff, pleaded guilty to accepting cash and gold coins in exchange for influencing state contracts.
1	Instead of being reprimanded by court security officers, a smiling senior policeman shook hands with Mr Laczynski and patted him on the shoulder.	Instead of being reprimanded by court security officers, a senior policeman smiled and shook Mr Lacsynski's hand and patted him on the shoulder.
1	AAA spokesman Jerry Cheske said prices may have affected some plans, but cheap hotel deals mitigated the effect.	AAA spokesman Jerry Cheske said prices might have affected some plans, but cheap hotel deals made up for it.
1	Since June of last year the Red Cross has spent $114 million on disasters, but taken in only $40 million in donations.	Between July 1, 2002 and June 30, 2003, the Red Cross spent $114 million on disaster relief, while taking in only $39.5 million.
1	His 1996 Chevrolet Tahoe was found abandoned June 25 in a Virginia Beach, Va., parking lot.	His sport utility vehicle was found June 25, abandoned without its license plates in Virginia Beach, Va.
0	President Bush on Saturday became the first American president to address a joint session of the Philippine National Congress since Dwight Eisenhower in 1960.	But success requires more than American assistance, Bush said in the first speech to a joint session of Philippine Congress by a U.S. president since Dwight Eisenhower in 1960.
0	The NEA report, the Status of the American Public School Teacher, aims to help education groups shape their agendas.	The NEA report, Status of the American Public School Teacher, aims to help education groups shape their agendas and mold the country's image of teachers.
1	Random testing of security procedures should also take place.	Security assessments of these facilities should take place every three years.
1	GBI spokesman John Bankhead said the murder scenes showed that the killer was very methodical.	Georgia Bureau of Investigation spokesman John Bankhead said the crime scenes indicated that the killer was very methodical.
1	Officials developed plans to burn about 2,000 acres of dense forest near the park's southwest border by dropping incendiary devices, hoping to burn off fuel from the wildfire's path.	Officials tentatively planned to burn about 2,000 acres of dense forest by dropping incendiary devices from the air, aiming to remove fuel from the wildfire's path.
1	Earlier, he told France Inter-Radio, I think we can now qualify what is happening as a genuine epidemic.	I think we can now qualify what is happening as a genuine epidemic, Health Minister Jean-Francois Mattei said on France Inter radio.
0	It features a 4K color screen and 40-tone polyphonic sound with exchangeable Style-Up front panels.	The Z200 features a color screen and 40-tone polyphonic sounds.
0	The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 on Friday.	The tech-laced Nasdaq Composite .IXIC rallied 30.46 points, or 2.04 percent, to 1,520.15.
1	The court expects that 25 years from now, the use of racial preferences will no longer be necessary, O'Connor wrote.	O'Connor wrote, We expect that 25 years from now, the use of racial preferences will no longer be necessary.
1	Such a letter indicates the government intends to pursue an indictment and believes it has substantial evidence to support an indictment, the company said.	The Kenilworth-based company said it believes the letter shows that the government plans to pursue a criminal indictment and likely has substantial evidence supporting an indictment.
0	The broader Standard & Poor's 500 Index ended up 1.03 points, or 0.10 percent, at 998.51, ending at its highest since late June 2002.	The broader Standard & Poor's 500 Index .SPX was off 1.67 points, or 0.17 percent, at 995.81.
0	His coalition also passed some of the world's most progressive laws in legalizing gay marriage and euthanasia and decriminalizing the personal use of soft drugs.	The coalition passed some of the world's most progressive social legislation, legalising gay marriage and euthanasia.
1	The technology-laced Nasdaq Composite Index .IXIC was down 27.13 points, or 1.64 percent, at 1,626.49, based on the latest data.	The technology-laced Nasdaq Composite Index <.IXIC> declined 25.78 points, or 1.56 percent, to 1,627.84.
1	Government workers trapped in a burning downtown office tower frantically dialed 911 as they tried to make their way through smoke-filled staircases and hallways, officials said.	Some people trapped in a burning high-rise building in Chicago's Loop business district frantically dialed 911 for help in escaping the smoke-filled staircases and hallways, officials said.
1	St. Paul Chairman and Chief Executive Jay S. Fishman, 51, will be CEO of the combined company.	Jay Fishman, 51, chairman and chief executive of St Paul, will be chief executive of the combined company.
1	The lawsuit, filed after a 19-month investigation by the Employee Benefits Security Administration, names Lay and Skilling among others.	The lawsuit, filed after a 19-month investigation by the Employee Benefits Security Administration, names former Enron Chairman Kenneth Lay and former chief executive Jeff Skilling, among others.
1	Sylvan Shalom, the Israeli Foreign Minister, said there was a possibility that Mr Bush “will come to this area”.	Shalom said there was also a possibility that the president will come to this area.
1	July Brent rose 31 cents to $28.39 per barrel on London's International Petroleum Exchange.	Brent crude for July delivery fell 38 cents to $27.45 a barrel on London's International Petroleum Exchange.
1	British-based GlaxoSmithKline Plc said earlier this year it would cut off supplies to Canadian drugstores that ship to the United States.	GlaxoSmithKline, the UK drugmaker, has said it would cut off supplies to Canadian stores shipping drugs to the US.
1	Rep. Dennis Kucinich of Ohio is expected to raise more than $1 million.	Ohio Rep. Dennis Kucinich passed $1 million last week and was still counting money.
0	Mr McDevitt has been granted control of three crucial aspects of policing in the Solomons.	Mr McDevitt has been granted control of three aspects of policing by Commissioner William Morrell.
1	Another soldier died and three were wounded when their vehicle hit a land mine or a piece of unexploded ordnance in Baghdad, a military statement said Tuesday.	Also Monday, one soldier died and three were wounded when their vehicle hit a land mine or a piece of unexploded ordnance in Baghdad.
0	He is a brother to three-year-old Mia, from Kate's first marriage, to film producer Jim Threapleton.	Winslet, 28, has a three-year-old daughter Mia by her first husband, British film producer Jim Threapleton.
1	O'Keefe declined to discuss whether such photos from spy satellites might have been able to detect the small crack in the wing.	O'Keefe declined to discuss whether such photos would have enough resolution to detect small cracks in the wing panels.
1	The specific product that is the subject of the petition, 6000 series aluminium alloy rolled plate, is used for general-purpose engineering, tooling and die applications.	At the center of the petition is a 6000 series aluminum alloy rolled plate that is used for general-purpose engineering, tooling and die applications.
0	The Nasdaq composite index inched up 1.28, or 0.1 percent, to 1,766.60, following a weekly win of 3.7 percent.	The technology-laced Nasdaq Composite Index .IXIC was off 24.44 points, or 1.39 percent, at 1,739.87.
1	The technology-loaded Nasdaq Composite Index .IXIC added 0.35 of a point, or 0.02 percent, to 1,662.	The Nasdaq Composite Index .IXIC rose 17.48 points, or 1.06 percent, to 1,661.51, based on the latest available figures.
1	On Thursday, authorities evacuated residents who live in the canyon and closed off the road leading there.	Authorities evacuated residents and closed off the road leading to Waterman Canyon.
0	Morrill's wife, Ellie, sobbed and hugged Bondeson's sister-in-law during the service.	At the service Morrill's widow, Ellie, sobbed and hugged Bondeson's sister-in-law as people consoled her.
0	The same three Response Team members also met with Monsignor Grass, who while manifestly repentant, admitted that the allegations were true.	Monsignor Grass ... while manifestly repentant, admitted that the allegations were true, the statement said.
0	He also could be barred permanently from the securities industry.	Young faces a fine, suspension or being permanently barred from the securities industry.
1	Schering-Plough shares fell 72 cents to close at $18.34 on the New York Stock Exchange.	The shares fell 72 cents, or 3.8 percent, to $18.34 Monday on the New York Stock Exchange.
0	Woodley, who underwent a liver transplant in 1992, died of liver and kidney failure.	Mr. Woodley died Sunday at age 44 of liver and kidney failure in his native Shreveport, La.
0	The civilian unemployment rate improved marginally last month -- slipping to 6.1 percent -- even as companies slashed payrolls by 93,000.	The civilian unemployment rate improved marginally last month _ sliding down to 6.1 percent _ as companies slashed payrolls by 93,000 amid continuing mixed signals about the nation's economic health.
1	Microsoft presented several options at the meeting, the consortium said in the statement.	Microsoft officials presented several options it is considering, the W3C posting said.
0	Regardless, its first quarter saw a profit of $721 million, or 29 cents, on revenue of $17.9 billion.	Analysts expected earnings of 27 cents a share on revenue of $17.7 billion, Thomson First Call says.
1	The dollar was also helped by concerns about possible yen- selling intervention by Japanese authorities.	The dollar was helped on Friday by talk of yen-selling intervention by Japanese authorities on Thursday and Friday.
1	A DOD team is working to determine how hackers gained access to the system and what needs to be done to fix the breach.	A DoD team is on site to determine how this happened and what needs to be done to fix the breach, the release stated.
1	The artists say the plan will harm French culture and punish those who need help most--performers who have a hard time lining up work.	Artists are worried the plan would harm those who need help most - performers who have a difficult time lining up shows.
1	The test was conducted by the University of California at Los Angeles and Riverside and was paid $450,000 from the ARB.	The test, conducted by UCLA and UC Riverside, was paid for with $450,000 from the ARB.
1	Immediately after the blast, people portraying some of the 150 victims stumbled amid the wreckage as emergency vehicles converged on the scene.	Immediately after the small explosion, people portraying victims stumbled amid the wreckage as fire trucks and other emergency vehicles converged.
0	We need to change old habits and seriously rethink business-as-usual.	He urged employees to avoid complacency and to change old habits and seriously rethink business-as-usual.
1	September and third quarter data confirm that demand in the global semiconductor market is rising briskly, said George Scalise, president of the SIA.	September and third-quarter data confirm that demand in the global semiconductor market is rising briskly, George Scalise, the SIA's president, said in the statement.
0	A representative for Phoenix-based U-Haul declined to comment on the case before the judge's opinion was released.	Anthony Citrano, a representative for WhenU, declined to comment on the case.
1	Mr Abbas said: Every day without an agreement is an opportunity that was lost.	His Palestinian counterpart, Mahmoud Abbas, replied that every day without an agreement is an opportunity that was lost.
1	Mr. Grassley and Mr. Baucus rejected any disparity in drug benefits.	Grassley and Baucus said they had rejected that approach in their plan.
1	On Wednesday, Judge Pollack dismissed another case, this one against Merrill Lynch investors in the firm's Global Technology Fund.	On Wednesday, Judge Pollack dismissed a similar class-action lawsuit filed by investors who lost money in Merrill's Global Technology fund.
0	Mr. Hampton had been living at a residence for AIDS patients in Beth Israel Hospital.	Hampton, 39, died in Beth Israel Hospital, Tipograph said.
1	Leon Williams' body was found inside his third-floor apartment at 196 Bay St., in Tompkinsville.	The dead man, Leon Williams, was found in his third-floor apartment.
0	The commission must work out the plan's details, but the average residential customer paying $840 a year would get a savings of about $30 annually.	An average residential customer paying $840 a year for electricity could see a savings of $30 annually.
1	We believe them to be without merit, and will defend ourselves vigorously.	We believe it is without merit and we will defend ourselves rigorously.
1	State media said there were at least 770 dead and over 5,600 injured.	The latest toll given by officials to state media was 643 dead and over 4,600 injured.
1	Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.	With the scandal hanging over Stewart's company, revenue the first quarter of the year dropped 15 percent from the same period a year earlier.
1	Kelly killed himself after being exposed as the source for a BBC report which claimed the government had embellished evidence of Iraq's banned weapons to justify the war.	He killed himself after being exposed as the source for a BBC report which claimed the government exaggerated the case for war against Iraq.
1	However, prosecutors have declined to take criminal action against guards, though Fine said his inquiry is not finished.	Prosecutors have declined to take criminal action against corrections officers, although Fine said his inquiry was not finished.
1	Baer said he had concluded that lawyers for the two victims have shown, albeit barely . . . that Iraq provided material support to bin Laden and al-Qaida.	Judge Harold Baer concluded Wednesday that lawyers for two victims have shown, albeit barely ... that Iraq provided material support to bin Laden and al-Qaida.
1	But White House spokesman Ari Fleischer said yesterday: The steps the Iranians claim to have taken in terms of capturing al-Qa'ida are insufficient.	The steps that the Iranians claim to have taken in terms of capturing al-Qaida are insufficient.
1	Buyers can purchase a Windows- and Office-loaded desktop for $298, excluding taxes, the report said.	Buyers can now choose a Windows- and Office-loaded desktop for 12,390 baht (US$298), excluding taxes, the report said.
1	Nordstrom also is expanding its play area in the children's clothes area, adding salt-water fish tanks and activities.	Nordstrom also is expanding its play area in the children’s clothes area, adding salt-water fish tanks and activities for children while their parents shop.
1	We believe the report is fully consistent with what the courts have ruled ... that the department's actions are fully within the law.	Comstock said several federal courts have ruled that the detentions are fully within the law.
1	The court's 1992 decision reaffirmed the basic findings of Roe protecting abortion choice but lessened the standards of protection guaranteed to women by Roe.	In a 1992 case, the Supreme Court reaffirmed the basic findings of Roe protecting abortion choice, but lessened the standards of protection guaranteed to women by Roe.
1	Qualcomm has enjoyed many years of selling CDMA chips against little or no competition.	Qualcomm has enjoyed many years of selling...against little or no competition, Hubach said in the statement.
0	The seizure took place at 4 a.m. on March 18, just hours before the first American air assault.	The time was about 4 a.m. on March 18, just hours before the first pinpoint missiles rained down on the capital.
1	The Securities and Exchange Commission yesterday said companies trading on the biggest U.S. markets must win shareholder approval before granting stock options and other stock-based compensation plans to corporate executives.	Companies trading on the biggest stock markets must get shareholder approval before granting stock options and other equity compensation under rules cleared yesterday by the Securities and Exchange Commission.
1	The Standard & Poor's 500 index declined 6.11, or 0.6 per cent, to 1003.27, having shed 19.67 in the previous session.	The Standard & Poor's 500 index declined by 4.39, or 0.4 percent, to 998.88, after losing 6.11 on Thursday.
0	But Nelson claims he did it because he was drunk on beer, not because Rosenbaum was jewish.	Those two witnesses say that Nelson confessed to killing Rosenbaum, but claimed he did it because he was drunk on beer.
1	US District Judge William M. Hoeveler's removal by his superior was a victory for US Sugar Corp., which led the fight for his ouster.	U.S. District Judge William M. Hoeveler's removal by his superior was a victory for U.S. Sugar Corp., which led the fight against Hoeveler.
1	CELF said IBM is pursuing membership and plans to be an active participant in the forum.	IBM is pursuing membership and plans to be an active participant in the CELF, according to various members of CELF.
1	The proceedings were taken up with prosecutors outlining their case against Amrozi, reading 33 pages of documents outlining allegations against him.	Proceedings were taken up with prosecutors outlining their case against Amrozi, reading a 33-page accusation letter to the court.
0	After losing as much as 84.56 earlier, the Dow Jones industrial average closed up 22.81, or 0.2 percent, at 9,340.45.	In midday trading, the Dow Jones industrial average lost 68.84, or 0.7 percent, to 9,248.80.
0	Larger rivals, including Tesco and Sainsbury’s, were excluded from the bid battle following a Competition Commission inquiry last month.	A Competition Commission inquiry last month has already excluded larger rivals Tesco, Asda and J Sainsbury from the bid race.
1	The broad Standard & Poor's 500 Index .SPX was up 8.79 points, or 0.96 percent, at 929.06.	The Standard & Poor's 500 Index gained 10.89, or 1.2 percent, to 931.12 as of 12:01 p.m. in New York.
1	The anticipated global sales improvement in the month of June did not materialize, said Chief Financial Officer Robert Rivet.	The anticipated global sales improvement in the month of June did not materialize as we had anticipated, the company said.
1	Josephine Burke, who ran the unlicensed daycare, eventually served four months in prison on misdemeanor assault and child neglect charges.	Josephine Burke, who ran the illegal day care, served four months in prison on misdemeanor assault and child-neglect charges.
0	A former teammate, Carlton Dotson, has been charged with the murder.	His body was found July 25, and former teammate Carlton Dotson has been charged in his shooting death.
1	Using bookmarks and back and forth buttons - we had about eighteen different things we had in mind for the browser, he told an industry audience in London yesterday.	Using bookmarks and back and forth buttons -- we had about eighteen different things we had in mind for the browser.
1	The virus spreads when unsuspecting computer users open file attachments in emails that contain familiar headings like Thank You! and Re: Details.	Sobig.F spreads when unsuspecting computer users open file attachments in e-mails that contain such familiar headings as Thank You!, Re: Details or Re: That Movie.
0	The Yankees, however, had big trouble handling Victor Zambrano (4-4) for the second straight time.	The Yankees wasted no time breaking through against Zambrano (4-4) in the rematch.
1	Kempenaers said some species are still faithful, notably swans and sea birds such as the albatross, which mate for life and are never unfaithful to their partners.	Kempenaers said fidelity still exists in some species, notably swans and sea birds such as the albatross that mate for life and are never unfaithful to their partners.
0	We do not use service members as guinea pigs, William Winkenwerder, assistant secretary of defense for health affairs, told a Pentagon briefing.	We stand behind this program, said Dr. William Winkenwerder, assistant secretary of defense for health affairs.
1	Medical investigators matched the body's teeth to Aronov's dental records this morning, medical examiner's spokeswoman Ellen Borakove said.	Investigators matched the dead womans teeth to Aronovs dental records Wednesday morning, medical examiners spokeswoman Ellen Borakove said.
1	So Sebastian did his best to convincingly confess to a crime that he didn't commit in order to survive, she told jurors.	Sebastian did his best to confess convincingly to a crime he didn't do in order to survive, Ms. Richardson declared.
0	Miodrag Zivkovic, of the Liberal Alliance of Montenegro, won 31 percent of the vote while the independent Dragan Hajdukovic got four percent.	Miodrag Zivkovic, the leader of the pro-independence opposition Liberal Alliance, came in second with 31 percent of the vote.
0	The conflict centers on a proposal to change a French unemployment fund for artists that takes into account their downtime between shows.	France has a unique unemployment fund for artists that takes into account their downtime between shows.
1	Mr Neil said that according to the source, the report will say its inspectors have not even unearthed minute amounts of nuclear, chemical or biological weapons material.	According to the BBC, the group's interim report will say its inspectors have not even unearthed minute amounts of nuclear, chemical or biological weapons material.
1	Governor Gray Davis estimated yesterday that the fires could cost nearly $2 billion.	State officials estimated the cost at nearly $2 billion.
1	It also hired Citigroup and Morgan Stanley to explore refinancing or restructuring of $175 million in senior notes due next year.	ATA also has hired Citigroup and Morgan Stanley to evaluate options for refinancing or restructuring $175 million of 10.5 percent senior notes due in August 2004.
1	People just love e-mail, and it really bothers them that spam is ruining such a good thing, said Deborah Fallows, the Pew researcher who wrote the report.	People just love e-mail, and it really bothers them that spam is ruining such a good thing, said Deborah Fallows, senior research fellow with the Pew project.
1	In case the company does not turn in the reports before the end of May, it is likely to be delisted, an SFC official said.	If the company did not turn in the results before the end of May, it was likely to be delisted, an SFC official said.
1	Some state lawmakers say they remain hopeful Bush will sign it, though they acknowledge pressure on the governor to do otherwise.	Some state legislators behind the bill say they remain hopeful Bush will sign the legislation, though they acknowledge pressure is building on the governor to do otherwise.
1	The top rate will go to 4.45 percent for all residents with taxable incomes above $500,000.	For residents with incomes above $500,000, the income-tax rate will increase to 4.45 percent.
0	Cullen is replacing former chief privacy officer Richard Purcell, who left earlier this year.	The job had been vacant since Richard Purcell left earlier this year.
1	The two cases concerned the admissions policies of the University of Michigan's law school and undergraduate college.	The two cases were from the University of Michigan, one involving undergraduate admissions and the other, law school admissions.
1	WHO spokeswoman Maria Cheng agreed, saying: It looks very much like an isolated event.	It looks very much like an isolated event, World Health Organization spokeswoman Maria Cheng said.
0	The tech-heavy Nasdaq Stock Markets composite index added 14.17 points or 0.94 per cent to 1,517.05.	The Nasdaq Composite index, full of technology stocks, was lately up around 18 points.
1	The program will grow to include ports in Dubai, Turkey and Malaysia, among others.	The program will be expanded to include areas of the Middle East such as Dubai, Turkey and Malaysia, Mr. Ridge said.
1	There were estimated to be between 400,000 and 750,000 Iraqis employed by state-owned enterprises, but most of the businesses were non- operative, he said.	There are estimated to be between 400,000 and 750,000 Iraqis employed by state-owned enterprises in Iraq, but most of the businesses are currently inoperative, he said.
1	Ten, two mobile homes and numerous outbuildings were destroyed by the now-smoldering fire northwest of Boulder.	He said eight or nine homes had been destroyed by the now-smoldering fire northwest of Boulder.
0	In that same time, the S&P and the Nasdaq have gained about 3.5 percent.	The Nasdaq composite gained 4.78 to 1,955.80, having edged up 0.1 percent last week.
1	IBM of the US and Infineon Technologies of Germany will today announce a technological development that could threaten multi-billion dollar memory chip markets.	IBMof the US andInfineon Technologies of Germany willon Tuesdayannounce a technological development that could threaten multi-billion dollar memory chip markets.
1	The companies uniformly declined to give specific numbers on customer turnover, saying they will release those figures only when they report overall company performance at year-end.	The companies, however, declined to give specifics on customer turnover, saying they would release figures only when they report their overall company performance.
1	About 400 of those taken into custody were charged with manufacturing or distributing child pornography on the Internet.	The largest number of arrests, about 400, were on charges of manufacturing or distributing child pornography on the Internet.
1	He was in Cincinnati helping another daughter move when the tragedy occurred, friends said.	Rowell, 57, was out of state helping his wife's daughter move when the tragedy occurred, friends said.
1	Mr. Carter, who won the Nobel Peace Prize last year, met here today with Japan's prime minister, Junichiro Koizumi.	Carter, who received the Nobel Peace Prize last year, met in Tokyo yesterday with Japan's prime minister, Junichiro Koizumi.
0	Fletcher will not do that, said his campaign manager, Daniel Groves.	Richardson and Fletcher campaign manager Daniel Groves rejected the request.
1	A few thousand troops, most from the division's 3rd Brigade Combat Team based at Fort Benning in Columbus, began returning last week, with flights continuing through Friday.	Several thousand 3rd Infantry troops, including the 3rd Brigade Combat Team based at Fort Benning in Columbus, Ga., began returning last week.
1	We must defend those whom we dislike or even despise, said Neal R. Sonnett, a Miami lawyer who led an association panel on enemy combatants.	We must defend those whom we dislike or even despise, said Neal Sonnett, a Miami lawyer who headed an ABA task force on enemy combatants.
1	The group criticizing Schwarzenegger, the League of United Latin American Citizens, said the Austrian-born actor's advisory board position brings into question his commitment to Latinos.	The League of United Latin American Citizens, the group criticizing Schwarzenegger, said the Austrian-born actor's advisory board position brings into question his commitment to Hispanics.
0	If the other rating agencies also downgrade us..	The two other national rating agencies are waiting to take action.
1	In Virginia, Mr. Kilgore, a Republican, accused the court of undermining Virginia's right to pass legislation that reflects the views and values of our citizens.	The Virginia attorney-general, Jerry Kilgore, accused the Supreme Court of undermining Virginia's right to pass legislation that reflects the views and values of our citizens.
1	Tibco has used the Rendezvous name since 1994 for several of its technology products, according to the Palo Alto, California company.	Tibco has used the Rendezvous name since 1994 for several of its technology products, it said.
0	Police investigating a fatal hit-and-run accident conducted a search Monday at the home of Bishop Thomas O'Brien, head of the Roman Catholic Diocese of Phoenix.	Police investigating a deadly hit-and-run accident went to the home of Phoenix's Roman Catholic bishop on Monday and found the windshield of his car caved in, authorities said.
0	On Monday the Palestinian Prime Minister, Mahmoud Abbas, will report to the Palestinian parliament on his Government's achievements in its first 100 days in office.	Palestinian Prime Minister Mahmoud Abbas must defend the record of his first 100 days in office before Parliament today as the death toll in the occupied territories continues to rise.
0	The dead woman was also wearing a ring and a Cartier watch.	It's a blond-haired woman wearing a Cartier watch on her wrist, the source said.
1	A federal magistrate in Fort Lauderdale ordered him held without bail.	Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale, Fla.
0	The airline says only Robert Milton is taking a 15-per-cent reduction in pay.	The airline's pilots, for example, are taking a 15-per-cent cut.
0	The Chelsea defender Marcel Desailly has been the latest to speak out.	Marcel Desailly, the France captain and Chelsea defender, believes the latter is true.
0	He was arrested Tuesday night at a northwest Atlanta tire shop after a national manhunt.	He was arrested in Atlanta, Georgia, on Monday night by police acting on a tip-off.
0	All three had criminal records for stealing cattle, the statement said.	It said they all had criminal records for stealing cattle and Lamas was twice imprisoned for armed robbery.
0	It decided instead to issue them before the stock market opened Monday after the downgrade of its debt late Friday by Moody's, the credit rating agency.	It decided instead to issue them before the stock market opened Monday to counteract the downgrade of its debt late Friday by Moody's to one step above junk status.
1	The dollar rose 0.6 percent to 109.54 yen<JPY=> and climbed more than 1 percent to 1.3315 Swiss francs<CHF=>.	The dollar rose around 0.6 percent against the Japanese currency to 109.51 yen <JPY=> and climbed 1 percent against the Swiss franc to 1.3302 francs <CHF=>.
1	Roberts said his committee was briefed about a week ago about the likelihood of a major attack in Saudi Arabia.	Roberts said on Fox News Sunday that said his committee was briefed about a week ago about the likelihood of an attack in Saudi Arabia.
1	French retirees will increase from one fifth to a third of the population by 2040.	By 2040, retirees will account for a third of the population, up from a fifth today.
0	The effort is the Bush administration's latest effort to expand the role of religious organizations in government services.	July 10 - The Bush administration's latest effort to expand the role of religious organizations in government services enlists church-based youth groups in anti-drug programs.
1	The Production Index rose by 1.4 percentage points from 51.5 percent in May to 52.9 percent in June.	The production index rose to 52.9 percent from 51.5 percent in May.
1	The Federal Open Market Committee meeting gets under way on Tuesday with a monetary policy decision due on Wednesday.	The Federal Open Market Committee will end its two-day policy-setting meeting and announce its decision on Wednesday.
0	Billy Hodge, 11, is engrossed with the Harry Potter series books.	Indeed, the Harry Potter series stands in a class by itself.
1	Sendmail said the system can even be set up to permit business-only usage.	The product can be instructed to permit business-only use, according to Sendmail.
0	It also named Robert Willumstad chief operating officer, also to take effect by Jan. 1, 2004.	Robert B. Willumstad, 57, Citigroup's president, was named chief operating officer.
1	She noted some fast-food chains, including McDonald's, already display calorie information in their stores or on their Web sites.	She said some fast-food chains already display calorie information about their meals on their Web sites.
1	Labor's Julia Gillard said it was a major failure of coastal surveillance.	Opposition politicians have described it as a major failure in coastal surveillance.
1	Randall Simon singled to right for the second run.	Randall Simon followed with an RBI single to right.
1	Southwest said it had already inspected its fleet of 385 aircraft and found no additional suspicious items.	Southwest said it completed inspections of its entire fleet of 385 aircraft and found no additional items.
0	Humphries, and his father William, were on the IU campus Wednesday afternoon and Thursday morning.	Humphries, and his father, William, arrived at IU in the early afternoon and spent the day with IU coach Mike Davis.
1	But the country is scrambling to prevent it spreading to the vast countryside where most of its 1.3 billion people live.	China is scrambling to stop the disease from spreading to the countryside, where most of its 1.3 billion people live.
1	At midday Saturday, automatic gunfire rattled windows in the Qadesiyah neighborhood, a largely Arab area that borders a Kurdish quarter.	Automatic gunfire rattled windows in the Qadesiya neighborhood at midday today, a largely Arab area that borders a Kurdish quarter.
1	Canada won't commit more troops to Afghanistan until the current year-long mission is complete, Prime Minister Jean Chretien said yesterday.	Canada will not consider sending more troops to Afghanistan until its current 12-month peacekeeping mission is complete, Prime Minister Jean Chretien said Saturday.
1	They also are reshaping the retail business relationship elsewhere, as companies take away ideas and practices that change how they do business in their own firms and with others.	They also are reshaping the retail-business relationship, as companies take away concepts and practices that change how they do business internally and with others.
1	The priest, the Rev. John F. Johnston, 64, of 35th Avenue in Jackson Heights, was charged with aggravated harassment and criminal possession of a weapon.	The Rev. John Johnston, 64, was charged with aggravated harassment in the phone call case and with criminal possession of a weapon, according to a police statement.
1	The move to rein in losses at its four boutique outlets comes as the retailer seeks to cap the cost of doing business.	The move to rein in the losses of the four upmarket food outlets comes as the retailer seeks to cap the cost of doing business.
0	It can store more than a gigabyte of information equivalent to around 12 hours of music in one cubic centimetre.	And it can store more than a gigabyte of information - equivalent to 1,000 high quality images or around 12 hours of music - in just one cubic centimetre.
1	In 2001, Evan helped found an after-school nonviolence program named after a college student shot and killed by a teen gang member, said Alexis Lukas, the program supervisor.	In 2001, Nash helped found an after-school nonviolence program named after a college student who was fatally shot by a 14-year-old gang member, program supervisor Alexis Lukas said.
1	A discouraging outlook from General Electric Co. sent its share down 81 cents (U.S.) or 2.7 per cent to $29.32.	A discouraging outlook from GE sent the company's shares down 81 cents (U.S.) or 2.7 per cent to $29.32.
1	BOSTON The Catholic archdiocese in Boston has offered $55 million to settle more than 500 clergy sex abuse lawsuits, according to a document obtained by The Associated Press.	The American Roman Catholic archdiocese of Boston has offered $55 million to settle more than 500 sex abuse lawsuits involving priests.
1	Taiwan ranked No. 3 in the world behind China and Hong Kong for SARS deaths and cases.	Taiwan ranked No. 3 on the global list for deaths and cases, behind China and Hong Kong.
1	A passer-by found Ben hiding along a dirt road in Spanish Fork Canyon about 7 p.m., with his hands still taped together but his feet free.	A passer-by found the boy hiding along a dirt road in Spanish Fork Canyon about 7 p.m. Thursday, with his feet free but his hands still taped.
0	Indeed, Mr. Weill, a self-described workaholic, said he planned to remain very involved in the company.	Still, Mr. Weill will remain very much a power at the company.
0	Cohen recessed the hearing until this afternoon and said he expected to issue his findings next week.	After a day of testimony, Cohen recessed the hearing until this afternoon.
0	To reach John A. Dvorak, who covers Kansas, call (816) 234-7743 or send e-mail to jdvorak@kctar.com.	To reach Brad Cooper, Johnson County municipal reporter, call (816) 234-7724 or send e-mail to bcooper@kcstar.com.
